timestamp (in seconds),bus_trip_no,status,bus_stop_no,latitude,longitude,distance
996,1,DISPATCHED_FROM,1,45.492786,-122.401855,0.0
1020,1,TRANSIT_TO,2,45.494725200000005,-122.4081274,534.3244400361327
1050,1,TRANSIT_TO,2,45.4971492,-122.4159679,1202.2299900812986
1080,1,TRANSIT_TO,2,45.4995732,-122.4238084,1870.1355401264645
1096,1,STOPPED_AT,2,45.500866,-122.42799,2226.3518334838864
1110,1,TRANSIT_TO,3,45.50089441,-122.4279765,2229.6814800779066
1140,1,TRANSIT_TO,3,45.50117851,-122.4278415,2262.9779460181103
1170,1,TRANSIT_TO,3,45.501462610000004,-122.4277065,2296.274411958314
1200,1,TRANSIT_TO,3,45.50174671,-122.4275715,2329.5708778985177
1230,1,TRANSIT_TO,3,45.50203081,-122.4274365,2362.8673438387214
1260,1,TRANSIT_TO,3,45.50231491,-122.4273015,2396.163809778925
1290,1,TRANSIT_TO,3,45.502599010000004,-122.42716650000001,2429.4602757191287
1307,1,STOPPED_AT,3,45.50276,-122.42709,2448.3282730852443
1320,1,DWELL_AT,3,45.50276,-122.42709,2448.3282730852443
1350,1,TRANSIT_TO,4,45.5025546,-122.42683758333334,2478.472114397774
1380,1,TRANSIT_TO,4,45.5020806,-122.42625508333334,2548.0348251189957
1410,1,TRANSIT_TO,4,45.5016066,-122.42567258333334,2617.597535840218
1440,1,TRANSIT_TO,4,45.5011326,-122.42509008333334,2687.16024656144
1470,1,TRANSIT_TO,4,45.5006586,-122.42450758333334,2756.722957282662
1500,1,TRANSIT_TO,4,45.5001846,-122.42392508333334,2826.285668003884
1530,1,TRANSIT_TO,4,45.4997106,-122.42334258333334,2895.848378725106
1560,1,TRANSIT_TO,4,45.499236599999996,-122.42276008333334,2965.4110894463283
1590,1,TRANSIT_TO,4,45.4987626,-122.42217758333334,3034.97380016755
1620,1,TRANSIT_TO,4,45.498288599999995,-122.42159508333334,3104.536510888772
1637,1,STOPPED_AT,4,45.49802,-122.421265,3143.9553802974647
1650,1,DWELL_AT,4,45.49802,-122.421265,3143.9553802974647
1680,1,TRANSIT_TO,5,45.497776625,-122.4204240625,3214.8688797490663
1710,1,TRANSIT_TO,5,45.497289875,-122.4187421875,3356.695878652269
1740,1,TRANSIT_TO,5,45.496803125,-122.41706031250001,3498.522877555472
1763,2,DISPATCHED_FROM,1,45.492786,-122.401855,0.0
1770,2,TRANSIT_TO,2,45.493351600000004,-122.40368445,155.84462834387205
1770,1,TRANSIT_TO,5,45.496316375,-122.41537843750001,3640.349876458675
