timestamp (in seconds),bus_trip_no,status,bus_stop_no,latitude,longitude,distance
990,1,DISPATCHED_FROM,1,45.492786,-122.401855,0.0
1020,1,TRANSIT_TO,2,45.49521,-122.4096955,667.9055500451659
1050,1,TRANSIT_TO,2,45.497634000000005,-122.417536,1335.8111000903318
1080,1,TRANSIT_TO,2,45.500058,-122.4253765,2003.7166501354977
1090,1,STOPPED_AT,2,45.500866,-122.42799,2226.3518334838864
1110,1,TRANSIT_TO,3,45.5009607,-122.427945,2237.4506554639543
1140,1,TRANSIT_TO,3,45.5012448,-122.42781,2270.747121404158
1170,1,TRANSIT_TO,3,45.501528900000004,-122.427675,2304.0435873443616
1200,1,TRANSIT_TO,3,45.501813,-122.42754,2337.3400532845653
1230,1,TRANSIT_TO,3,45.5020971,-122.42740500000001,2370.636519224769
1260,1,TRANSIT_TO,3,45.5023812,-122.42727000000001,2403.9329851649727
1290,1,TRANSIT_TO,3,45.502665300000004,-122.427135,2437.2294511051764
1300,1,STOPPED_AT,3,45.50276,-122.42709,2448.3282730852443
1320,1,DWELL_AT,3,45.50276,-122.42709,2448.3282730852443
1350,1,TRANSIT_TO,4,45.502286,-122.42650750000001,2517.8909838064665
1380,1,TRANSIT_TO,4,45.501812,-122.425925,2587.453694527688
1410,1,TRANSIT_TO,4,45.501338,-122.4253425,2657.0164052489104
1440,1,TRANSIT_TO,4,45.500864,-122.42476,2726.5791159701325
1470,1,TRANSIT_TO,4,45.500389999999996,-122.42417750000001,2796.1418266913543
1500,1,TRANSIT_TO,4,45.499916,-122.423595,2865.7045374125764
1530,1,TRANSIT_TO,4,45.499441999999995,-122.4230125,2935.2672481337986
1560,1,TRANSIT_TO,4,45.498968,-122.42243,3004.829958855021
1590,1,TRANSIT_TO,4,45.498493999999994,-122.42184750000001,3074.3926695762425
1620,1,STOPPED_AT,4,45.49802,-122.421265,3143.9553802974647
1650,1,TRANSIT_TO,5,45.49789019999999,-122.4208165,3181.775913338319
