timestamp (in seconds),bus_trip_no,status,bus_stop_no,stop_id,stop_name,latitude,longitude,distance
72724,1,DISPATCHED_FROM,1,14232,Cleveland Ave Park & Ride,45.503106,-122.418964,0.0
72725,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50310665714286,-122.41897474436091,0.8405220081022167
72726,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503107314285714,-122.4189854887218,1.6810440162044333
72727,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50310797142858,-122.41899623308271,2.52156602430665
72728,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50310862857143,-122.41900697744362,3.3620880324088667
72729,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50310928571429,-122.41901772180451,4.202610040511083
72730,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503109942857144,-122.41902846616541,5.0431320486133
72731,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.5031106,-122.41903921052632,5.883654056715517
72732,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311125714286,-122.41904995488721,6.724176064817733
72733,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311191428572,-122.41906069924812,7.56469807291995
72734,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503112571428574,-122.41907144360903,8.405220081022167
72735,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311322857143,-122.41908218796993,9.245742089124384
72736,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503113885714285,-122.41909293233083,10.0862640972266
72737,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311454285715,-122.41910367669173,10.926786105328816
72738,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.5031152,-122.41911442105264,11.767308113431033
72739,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311585714286,-122.41912516541353,12.607830121533251
72740,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503116514285715,-122.41913590977444,13.448352129635467
72741,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311717142857,-122.41914665413535,14.288874137737682
72742,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311782857143,-122.41915739849624,15.1293961458399
72743,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311848571429,-122.41916814285715,15.969918153942118
72744,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503119142857145,-122.41917888721805,16.810440162044333
72745,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.5031198,-122.41918963157894,17.65096217014655
72746,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503120457142856,-122.41920037593985,18.49148417824877
72747,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50312111428572,-122.41921112030076,19.332006186350984
72748,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503121771428575,-122.41922186466165,20.1725281944532
72749,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50312242857143,-122.41923260902256,21.013050202555416
72750,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503123085714286,-122.41924335338346,21.85357221065763
72751,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50312374285715,-122.41925409774436,22.69409421875985
72752,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503124400000004,-122.41926484210526,23.534616226862067
72753,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50312505714286,-122.41927558646617,24.375138234964282
72754,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503125714285716,-122.41928633082706,25.215660243066502
72755,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50312637142857,-122.41929707518797,26.056182251168718
72756,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503127028571434,-122.41930781954888,26.896704259270933
72757,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50312768571429,-122.41931856390978,27.73722626737315
72758,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503128342857146,-122.41932930827068,28.577748275475365
72759,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503129,-122.41934005263158,29.418270283577584
72760,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50312965714286,-122.41935079699249,30.2587922916798
72761,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313031428572,-122.41936154135338,31.099314299782016
72762,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503130971428575,-122.41937228571429,31.939836307884235
72763,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313162857143,-122.4193830300752,32.78035831598645
72764,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313228571429,-122.41939377443609,33.62088032408867
72765,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313294285714,-122.419404518797,34.461402332190886
72766,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503133600000005,-122.4194152631579,35.3019243402931
72767,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313425714286,-122.4194260075188,36.14244634839532
72768,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313491428572,-122.4194367518797,36.98296835649754
72769,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313557142857,-122.41944749624061,37.82349036459975
72770,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313622857143,-122.4194582406015,38.66401237270197
72771,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313688571429,-122.4194689849624,39.50453438080418
72772,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313754285715,-122.41947972932331,40.3450563889064
72773,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.5031382,-122.4194904736842,41.18557839700862
72774,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313885714286,-122.41950121804511,42.02610040511083
72775,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503139514285714,-122.41951196240602,42.86662241321305
72776,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503140171428576,-122.41952270676693,43.70714442131526
72777,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50314082857143,-122.41953345112782,44.54766642941748
72778,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50314148571429,-122.41954419548873,45.3881884375197
72779,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50314214285714,-122.41955493984963,46.228710445621914
72780,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.5031428,-122.41956568421053,47.06923245372413
72781,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50314345714286,-122.41957642857143,47.90975446182635
72782,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50314411428572,-122.41958717293234,48.750276469928565
72783,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50314477142857,-122.41959791729323,49.590798478030784
72784,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50314542857143,-122.41960866165414,50.431320486133004
72785,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503146085714285,-122.41961940601504,51.271842494235216
72786,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50314674285715,-122.41963015037594,52.112364502337435
72787,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.5031474,-122.41964089473684,52.95288651043965
72788,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50314805714286,-122.41965163909775,53.79340851854187
