timestamp (in seconds),bus_trip_no,status,bus_stop_no,latitude,longitude,distance
1085,1,TRANSIT_TO,2,45.4999772,-122.4251152,1981.453132
1086,1,TRANSIT_TO,2,45.500058,-122.4253765,2003.71665
1087,1,TRANSIT_TO,2,45.5001388,-122.4256379,2025.980168
1088,1,TRANSIT_TO,2,45.5002196,-122.4258992,2048.243687
1089,1,TRANSIT_TO,2,45.5003004,-122.4261605,2070.507205
1090,1,TRANSIT_TO,2,45.5003812,-122.4264219,2092.770723
1091,1,TRANSIT_TO,2,45.500462,-122.4266833,2115.034242
1092,1,TRANSIT_TO,2,45.5005428,-122.4269446,2137.29776
1093,1,TRANSIT_TO,2,45.5006236,-122.427206,2159.561278
1094,1,TRANSIT_TO,2,45.5007044,-122.4274673,2181.824797
1095,1,TRANSIT_TO,2,45.5007852,-122.4277286,2204.088315
1096,1,STOPPED_AT,2,45.500866,-122.42799,2226.351833
1097,1,DWELL_AT,2,45.500866,-122.42799,2226.351833
1098,1,DWELL_AT,2,45.500866,-122.42799,2226.351833
1099,1,DWELL_AT,2,45.500866,-122.42799,2226.351833
1100,1,DWELL_AT,2,45.500866,-122.42799,2226.351833
1101,1,DWELL_AT,2,45.500866,-122.42799,2226.351833
1102,1,DWELL_AT,2,45.500866,-122.42799,2226.351833
1103,1,DWELL_AT,2,45.500866,-122.42799,2226.351833
1104,1,DWELL_AT,2,45.500866,-122.42799,2226.351833
1105,1,DWELL_AT,2,45.500866,-122.42799,2226.351833
1106,1,DWELL_AT,2,45.500866,-122.42799,2226.351833
1107,1,DWELL_AT,2,45.500866,-122.42799,2226.351833
1108,1,TRANSIT_TO,3,45.50087498,-122.4279857,2227.403855
1109,1,TRANSIT_TO,3,45.50088395,-122.4279815,2228.455876
1110,1,TRANSIT_TO,3,45.50089293,-122.4279772,2229.507897
1111,1,TRANSIT_TO,3,45.50090191,-122.4279729,2230.559918
1112,1,TRANSIT_TO,3,45.50091088,-122.4279687,2231.611939
1113,1,TRANSIT_TO,3,45.50091986,-122.4279644,2232.66396
1114,1,TRANSIT_TO,3,45.50092883,-122.4279601,2233.715981
1115,1,TRANSIT_TO,3,45.50093781,-122.4279559,2234.768002
1116,1,TRANSIT_TO,3,45.50094679,-122.4279516,2235.820023
1117,1,TRANSIT_TO,3,45.50095576,-122.4279473,2236.872044
1118,1,TRANSIT_TO,3,45.50096474,-122.4279431,2237.924065
1119,1,TRANSIT_TO,3,45.50097372,-122.4279388,2238.976086
1120,1,TRANSIT_TO,3,45.50098269,-122.4279345,2240.028107
1121,1,TRANSIT_TO,3,45.50099167,-122.4279303,2241.080128
1122,1,TRANSIT_TO,3,45.50100064,-122.427926,2242.132149
1123,1,TRANSIT_TO,3,45.50100962,-122.4279218,2243.18417
1124,1,TRANSIT_TO,3,45.5010186,-122.4279175,2244.236191
1125,1,TRANSIT_TO,3,45.50102757,-122.4279132,2245.288212
1126,1,TRANSIT_TO,3,45.50103655,-122.427909,2246.340233
1127,1,TRANSIT_TO,3,45.50104553,-122.4279047,2247.392254
1128,1,TRANSIT_TO,3,45.5010545,-122.4279004,2248.444275
1129,1,TRANSIT_TO,3,45.50106348,-122.4278962,2249.496296
1130,1,TRANSIT_TO,3,45.50107245,-122.4278919,2250.548317
1131,1,TRANSIT_TO,3,45.50108143,-122.4278876,2251.600338
1132,1,TRANSIT_TO,3,45.50109041,-122.4278834,2252.65236
1133,1,TRANSIT_TO,3,45.50109938,-122.4278791,2253.704381
1134,1,TRANSIT_TO,3,45.50110836,-122.4278748,2254.756402
1135,1,TRANSIT_TO,3,45.50111734,-122.4278706,2255.808423
1136,1,TRANSIT_TO,3,45.50112631,-122.4278663,2256.860444
1137,1,TRANSIT_TO,3,45.50113529,-122.427862,2257.912465
1138,1,TRANSIT_TO,3,45.50114427,-122.4278578,2258.964486
1139,1,TRANSIT_TO,3,45.50115324,-122.4278535,2260.016507
1140,1,TRANSIT_TO,3,45.50116222,-122.4278492,2261.068528
1141,1,TRANSIT_TO,3,45.50117119,-122.427845,2262.120549
1142,1,TRANSIT_TO,3,45.50118017,-122.4278407,2263.17257
1143,1,TRANSIT_TO,3,45.50118915,-122.4278364,2264.224591
1144,1,TRANSIT_TO,3,45.50119812,-122.4278322,2265.276612
1145,1,TRANSIT_TO,3,45.5012071,-122.4278279,2266.328633
1146,1,TRANSIT_TO,3,45.50121608,-122.4278236,2267.380654
1147,1,TRANSIT_TO,3,45.50122505,-122.4278194,2268.432675
1148,1,TRANSIT_TO,3,45.50123403,-122.4278151,2269.484696
1149,1,TRANSIT_TO,3,45.501243,-122.4278109,2270.536717
1150,1,TRANSIT_TO,3,45.50125198,-122.4278066,2271.588738
1151,1,TRANSIT_TO,3,45.50126096,-122.4278023,2272.640759
1152,1,TRANSIT_TO,3,45.50126993,-122.4277981,2273.69278
1153,1,TRANSIT_TO,3,45.50127891,-122.4277938,2274.744801
1154,1,TRANSIT_TO,3,45.50128789,-122.4277895,2275.796822
1155,1,TRANSIT_TO,3,45.50129686,-122.4277853,2276.848843
1156,1,TRANSIT_TO,3,45.50130584,-122.427781,2277.900864
1157,1,TRANSIT_TO,3,45.50131482,-122.4277767,2278.952886
1158,1,TRANSIT_TO,3,45.50132379,-122.4277725,2280.004907
1159,1,TRANSIT_TO,3,45.50133277,-122.4277682,2281.056928
1160,1,TRANSIT_TO,3,45.50134174,-122.4277639,2282.108949
1161,1,TRANSIT_TO,3,45.50135072,-122.4277597,2283.16097
1162,1,TRANSIT_TO,3,45.5013597,-122.4277554,2284.212991
1163,1,TRANSIT_TO,3,45.50136867,-122.4277511,2285.265012
1164,1,TRANSIT_TO,3,45.50137765,-122.4277469,2286.317033
1165,1,TRANSIT_TO,3,45.50138663,-122.4277426,2287.369054
1166,1,TRANSIT_TO,3,45.5013956,-122.4277383,2288.421075
1167,1,TRANSIT_TO,3,45.50140458,-122.4277341,2289.473096
1168,1,TRANSIT_TO,3,45.50141355,-122.4277298,2290.525117
1169,1,TRANSIT_TO,3,45.50142253,-122.4277255,2291.577138
1170,1,TRANSIT_TO,3,45.50143151,-122.4277213,2292.629159
1171,1,TRANSIT_TO,3,45.50144048,-122.427717,2293.68118
