timestamp (in seconds),bus_trip_no,status,bus_stop_no,stop_id,stop_name,latitude,longitude,distance
73774,1,DISPATCHED_FROM,1,14232,Cleveland Ave Park & Ride,45.503106,-122.418964,0.0
73775,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50310665714286,-122.41897474436091,0.8405220081022167
73776,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503107314285714,-122.4189854887218,1.6810440162044333
73777,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50310797142858,-122.41899623308271,2.52156602430665
73778,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50310862857143,-122.41900697744362,3.3620880324088667
73779,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50310928571429,-122.41901772180451,4.202610040511083
73780,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503109942857144,-122.41902846616541,5.0431320486133
73781,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.5031106,-122.41903921052632,5.883654056715517
73782,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311125714286,-122.41904995488721,6.724176064817733
73783,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311191428572,-122.41906069924812,7.56469807291995
73784,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503112571428574,-122.41907144360903,8.405220081022167
73785,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311322857143,-122.41908218796993,9.245742089124384
73786,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503113885714285,-122.41909293233083,10.0862640972266
73787,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311454285715,-122.41910367669173,10.926786105328816
73788,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.5031152,-122.41911442105264,11.767308113431033
73789,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311585714286,-122.41912516541353,12.607830121533251
73790,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503116514285715,-122.41913590977444,13.448352129635467
73791,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311717142857,-122.41914665413535,14.288874137737682
73792,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311782857143,-122.41915739849624,15.1293961458399
73793,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311848571429,-122.41916814285715,15.969918153942118
73794,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503119142857145,-122.41917888721805,16.810440162044333
73795,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.5031198,-122.41918963157894,17.65096217014655
73796,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503120457142856,-122.41920037593985,18.49148417824877
73797,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50312111428572,-122.41921112030076,19.332006186350984
73798,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503121771428575,-122.41922186466165,20.1725281944532
73799,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50312242857143,-122.41923260902256,21.013050202555416
73800,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503123085714286,-122.41924335338346,21.85357221065763
73801,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50312374285715,-122.41925409774436,22.69409421875985
73802,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503124400000004,-122.41926484210526,23.534616226862067
73803,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50312505714286,-122.41927558646617,24.375138234964282
73804,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503125714285716,-122.41928633082706,25.215660243066502
73805,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50312637142857,-122.41929707518797,26.056182251168718
73806,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503127028571434,-122.41930781954888,26.896704259270933
73807,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50312768571429,-122.41931856390978,27.73722626737315
73808,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503128342857146,-122.41932930827068,28.577748275475365
73809,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503129,-122.41934005263158,29.418270283577584
73810,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50312965714286,-122.41935079699249,30.2587922916798
73811,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313031428572,-122.41936154135338,31.099314299782016
73812,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503130971428575,-122.41937228571429,31.939836307884235
73813,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313162857143,-122.4193830300752,32.78035831598645
73814,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313228571429,-122.41939377443609,33.62088032408867
73815,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313294285714,-122.419404518797,34.461402332190886
73816,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503133600000005,-122.4194152631579,35.3019243402931
73817,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313425714286,-122.4194260075188,36.14244634839532
73818,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313491428572,-122.4194367518797,36.98296835649754
73819,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313557142857,-122.41944749624061,37.82349036459975
73820,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313622857143,-122.4194582406015,38.66401237270197
73821,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313688571429,-122.4194689849624,39.50453438080418
73822,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313754285715,-122.41947972932331,40.3450563889064
73823,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.5031382,-122.4194904736842,41.18557839700862
73824,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313885714286,-122.41950121804511,42.02610040511083
73825,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503139514285714,-122.41951196240602,42.86662241321305
73826,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503140171428576,-122.41952270676693,43.70714442131526
73827,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50314082857143,-122.41953345112782,44.54766642941748
73828,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50314148571429,-122.41954419548873,45.3881884375197
73829,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50314214285714,-122.41955493984963,46.228710445621914
73830,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.5031428,-122.41956568421053,47.06923245372413
73831,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50314345714286,-122.41957642857143,47.90975446182635
73832,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50314411428572,-122.41958717293234,48.750276469928565
73833,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50314477142857,-122.41959791729323,49.590798478030784
73834,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50314542857143,-122.41960866165414,50.431320486133004
73835,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503146085714285,-122.41961940601504,51.271842494235216
73836,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50314674285715,-122.41963015037594,52.112364502337435
73837,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.5031474,-122.41964089473684,52.95288651043965
73838,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50314805714286,-122.41965163909775,53.79340851854187
73839,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503148714285715,-122.41966238345864,54.633930526644086
73840,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50314937142857,-122.41967312781955,55.4744525347463
73841,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50315002857143,-122.41968387218046,56.31497454284852
73842,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50315068571429,-122.41969461654135,57.15549655095073
73843,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503151342857144,-122.41970536090226,57.99601855905295
73844,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503152,-122.41971610526316,58.83654056715517
73845,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50315265714286,-122.41972684962406,59.67706257525738
73846,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50315331428572,-122.41973759398496,60.5175845833596
73847,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503153971428574,-122.41974833834587,61.35810659146182
73848,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50315462857143,-122.41975908270678,62.19862859956403
73849,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503155285714286,-122.41976982706767,63.03915060766625
73850,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50315594285715,-122.41978057142857,63.87967261576847
73851,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503156600000004,-122.41979131578948,64.72019462387068
73852,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50315725714286,-122.41980206015037,65.5607166319729
73853,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503157914285715,-122.41981280451128,66.40123864007512
73854,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50315857142857,-122.41982354887219,67.24176064817733
73855,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503159228571434,-122.41983429323308,68.08228265627955
73856,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50315988571429,-122.41984503759399,68.92280466438177
73857,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503160542857145,-122.4198557819549,69.76332667248398
73858,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.5031612,-122.41986652631579,70.6038486805862
73859,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50316185714286,-122.4198772706767,71.44437068868842
73860,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50316251428572,-122.4198880150376,72.28489269679064
73861,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503163171428575,-122.41989875939849,73.12541470489285
73862,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50316382857143,-122.4199095037594,73.96593671299507
73863,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50316448571429,-122.4199202481203,74.80645872109729
