timestamp (in seconds),bus_trip_no,status,bus_stop_no,stop_id,stop_name,latitude,longitude,distance
73230,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50346414285714,-122.42481967669173,458.0844944157081
73230,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50326397368421,-122.42154688781163,202.05706694773025
73245,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50327305263158,-122.42169532963989,213.66954205966877
73245,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503474000000004,-122.42498084210526,470.69232453724135
73260,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50328213157895,-122.42184377146815,225.2820171716073
73260,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50348385714286,-122.4251420075188,483.3001546587746
73275,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50329121052632,-122.4219922132964,236.89449228354582
73275,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50349371428572,-122.42530317293233,495.90798478030786
73290,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503300289473685,-122.42214065512465,248.50696739548434
73290,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503503571428574,-122.42546433834586,508.5158149018411
73305,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50351342857143,-122.42562550375939,521.1236450233744
73305,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50330936842106,-122.42228909695291,260.11944250742283
73320,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50352328571429,-122.42578666917294,533.7314751449076
73320,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50331844736842,-122.42243753878117,271.73191761936135
73335,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50332752631579,-122.42258598060941,283.3443927312999
73335,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503533142857144,-122.42594783458647,546.3393052664409
73350,1,STOPPED_AT,2,14233,Gresham Central Transit Center,45.503543,-122.426109,558.9471353879741
73350,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50333660526316,-122.42273442243767,294.9568678432384
73365,1,TRANSIT_TO,3,14234,Gresham City Hall Park & Ride,45.503554711111114,-122.42622515555556,568.0925469777535
73365,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50334568421053,-122.42288286426593,306.5693429551769
73380,1,TRANSIT_TO,3,14234,Gresham City Hall Park & Ride,45.50373037777778,-122.42796748888888,705.273720824444
73380,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503354763157894,-122.42303130609419,318.18181806711544
73395,1,TRANSIT_TO,3,14234,Gresham City Hall Park & Ride,45.50390604444444,-122.42970982222222,842.4548946711346
73395,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503363842105266,-122.42317974792243,329.79429317905397
73410,1,TRANSIT_TO,3,14234,Gresham City Hall Park & Ride,45.50408171111111,-122.43145215555556,979.6360685178252
73410,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50337292105263,-122.42332818975069,341.4067682909925
73425,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503382,-122.42347663157895,353.019243402931
73425,1,TRANSIT_TO,3,14234,Gresham City Hall Park & Ride,45.504257377777776,-122.43319448888889,1116.8172423645158
73440,1,TRANSIT_TO,3,14234,Gresham City Hall Park & Ride,45.50443304444444,-122.43493682222223,1253.9984162112064
73440,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50339107894737,-122.4236250734072,364.63171851486953
73454,1,STOPPED_AT,3,14234,Gresham City Hall Park & Ride,45.504597,-122.436563,1382.0341784681177
73455,1,DWELL_AT,3,14234,Gresham City Hall Park & Ride,45.504597,-122.436563,1382.0341784681177
73455,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50340015789474,-122.42377351523545,376.24419362680806
73470,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50340923684211,-122.42392195706371,387.8566687387466
73470,1,DWELL_AT,3,14234,Gresham City Hall Park & Ride,45.504597,-122.436563,1382.0341784681177
73485,1,TRANSIT_TO,4,1316,NW Division & Civic Dr,45.50459755999999,-122.43670358666667,1392.9904397092191
73485,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503418315789474,-122.42407039889197,399.4691438506851
73500,1,TRANSIT_TO,4,1316,NW Division & Civic Dr,45.50459966,-122.43723078666667,1434.0764193633497
73500,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503427394736846,-122.42421884072021,411.0816189626236
73515,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50343647368421,-122.42436728254847,422.69409407456214
73515,1,TRANSIT_TO,4,1316,NW Division & Civic Dr,45.50460176,-122.43775798666667,1475.1623990174803
73530,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50344555263158,-122.42451572437673,434.30656918650067
73530,1,TRANSIT_TO,4,1316,NW Division & Civic Dr,45.504603859999996,-122.43828518666668,1516.248378671611
73545,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50345463157895,-122.42466416620499,445.9190442984392
73545,1,TRANSIT_TO,4,1316,NW Division & Civic Dr,45.50460596,-122.43881238666667,1557.3343583257415
73560,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50346371052632,-122.42481260803324,457.5315194103777
73560,1,TRANSIT_TO,4,1316,NW Division & Civic Dr,45.504608059999995,-122.43933958666666,1598.4203379798719
73575,1,TRANSIT_TO,4,1316,NW Division & Civic Dr,45.50461016,-122.43986678666667,1639.5063176340025
73575,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50347278947368,-122.4249610498615,469.14399452231623
73590,1,TRANSIT_TO,4,1316,NW Division & Civic Dr,45.50461226,-122.44039398666666,1680.592297288133
73590,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503481868421055,-122.42510949168975,480.75646963425476
73605,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50349094736842,-122.425257933518,492.3689447461932
73605,1,TRANSIT_TO,4,1316,NW Division & Civic Dr,45.50461436,-122.44092118666667,1721.6782769422637
73620,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50350002631579,-122.42540637534626,503.98141985813174
73620,1,TRANSIT_TO,4,1316,NW Division & Civic Dr,45.50461646,-122.44144838666666,1762.7642565963943
73631,1,STOPPED_AT,4,1316,NW Division & Civic Dr,45.504618,-122.441835,1792.8939750094232
73635,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503509105263156,-122.42555481717451,515.5938949700703
73635,1,DWELL_AT,4,1316,NW Division & Civic Dr,45.504618,-122.441835,1792.8939750094232
73650,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50351818421053,-122.42570325900277,527.2063700820088
73650,1,DWELL_AT,4,1316,NW Division & Civic Dr,45.504618,-122.441835,1792.8939750094232
73665,1,TRANSIT_TO,5,9425,NW Division & Angeline Ave,45.504612836065576,-122.44265939344263,1857.1425052546833
73665,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50352726315789,-122.42585170083102,538.8188451939474
73680,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503536342105264,-122.42600014265928,550.4313203058858
73680,1,TRANSIT_TO,5,9425,NW Division & Angeline Ave,45.5046017704918,-122.44442595081968,1994.8179272088119
73691,2,STOPPED_AT,2,14233,Gresham Central Transit Center,45.503543,-122.426109,558.9471353879741
73695,1,TRANSIT_TO,5,9425,NW Division & Angeline Ave,45.50459070491803,-122.44619250819673,2132.4933491629404
73695,2,DWELL_AT,2,14233,Gresham Central Transit Center,45.503543,-122.426109,558.9471353879741
73710,1,TRANSIT_TO,5,9425,NW Division & Angeline Ave,45.504579639344264,-122.44795906557377,2270.168771117069
73710,2,TRANSIT_TO,3,14234,Gresham City Hall Park & Ride,45.50356616483516,-122.42633875824176,577.0369605106146
73719,1,STOPPED_AT,5,9425,NW Division & Angeline Ave,45.504573,-122.449019,2352.774024289546
73725,2,TRANSIT_TO,3,14234,Gresham City Hall Park & Ride,45.5037399010989,-122.42806194505495,712.7106489304185
73725,1,TRANSIT_TO,6,1334,NW Division & Eastwood Ave,45.504572966666665,-122.44946143333334,2387.2533959398443
73740,2,TRANSIT_TO,3,14234,Gresham City Hall Park & Ride,45.503913637362636,-122.42978513186813,848.3843373502224
73740,1,TRANSIT_TO,6,1334,NW Division & Eastwood Ave,45.504572716666665,-122.45277968333335,2645.84868331708
73755,2,TRANSIT_TO,3,14234,Gresham City Hall Park & Ride,45.50408737362637,-122.43150831868132,984.0580257700262
73755,1,TRANSIT_TO,6,1334,NW Division & Eastwood Ave,45.504572466666666,-122.45609793333334,2904.443970694316
73770,2,TRANSIT_TO,3,14234,Gresham City Hall Park & Ride,45.50426110989011,-122.4332315054945,1119.7317141898302
73770,1,TRANSIT_TO,6,1334,NW Division & Eastwood Ave,45.504572216666666,-122.45941618333333,3163.0392580715516
73783,1,STOPPED_AT,6,1334,NW Division & Eastwood Ave,45.504572,-122.462292,3387.155173798489
73785,1,DWELL_AT,6,1334,NW Division & Eastwood Ave,45.504572,-122.462292,3387.155173798489
73785,2,TRANSIT_TO,3,14234,Gresham City Hall Park & Ride,45.50443484615384,-122.4349546923077,1255.4054026096342
73799,2,STOPPED_AT,3,14234,Gresham City Hall Park & Ride,45.504597,-122.436563,1382.0341784681177
73800,1,DWELL_AT,6,1334,NW Division & Eastwood Ave,45.504572,-122.462292,3387.155173798489
73800,2,DWELL_AT,3,14234,Gresham City Hall Park & Ride,45.504597,-122.436563,1382.0341784681177
73815,1,TRANSIT_TO,7,14235,18000 Block SE Division,45.50458628571429,-122.46405307142858,3524.406674327555
73815,2,DWELL_AT,3,14234,Gresham City Hall Park & Ride,45.504597,-122.436563,1382.0341784681177
73830,2,TRANSIT_TO,4,1316,NW Division & Civic Dr,45.504597116666666,-122.43659228888889,1384.316732893347
73830,1,TRANSIT_TO,7,14235,18000 Block SE Division,45.504600571428576,-122.46581414285714,3661.6581748566205
73845,2,TRANSIT_TO,4,1316,NW Division & Civic Dr,45.50459886666666,-122.43703162222222,1418.5550492717894
73845,1,TRANSIT_TO,7,14235,18000 Block SE Division,45.50461485714286,-122.46757521428572,3798.909675385686
73860,1,TRANSIT_TO,7,14235,18000 Block SE Division,45.50462914285714,-122.46933628571429,3936.1611759147518
73860,2,TRANSIT_TO,4,1316,NW Division & Civic Dr,45.504600616666664,-122.43747095555555,1452.7933656502314
73875,2,TRANSIT_TO,4,1316,NW Division & Civic Dr,45.50460236666667,-122.43791028888889,1487.0316820286735
73875,1,TRANSIT_TO,7,14235,18000 Block SE Division,45.50464342857143,-122.47109735714287,4073.412676443818
73890,2,TRANSIT_TO,4,1316,NW Division & Civic Dr,45.50460411666666,-122.43834962222222,1521.2699984071157
