timestamp (in seconds),bus_trip_no,status,bus_stop_no,latitude,longitude,distance
829,1,DISPATCHED_FROM,1,45.492786,-122.401855,0.0
830,1,TRANSIT_TO,2,45.4928668,-122.40211635,22.263518334838864
831,1,TRANSIT_TO,2,45.4929476,-122.4023777,44.52703666967773
832,1,TRANSIT_TO,2,45.4930284,-122.40263904999999,66.79055500451659
833,1,TRANSIT_TO,2,45.4931092,-122.4029004,89.05407333935545
834,1,TRANSIT_TO,2,45.493190000000006,-122.40316175,111.31759167419432
835,1,TRANSIT_TO,2,45.493270800000005,-122.4034231,133.58111000903318
836,1,TRANSIT_TO,2,45.493351600000004,-122.40368445,155.84462834387205
837,1,TRANSIT_TO,2,45.4934324,-122.4039458,178.1081466787109
838,1,TRANSIT_TO,2,45.4935132,-122.40420714999999,200.37166501354977
839,1,TRANSIT_TO,2,45.493594,-122.4044685,222.63518334838864
840,1,TRANSIT_TO,2,45.4936748,-122.40472985,244.8987016832275
841,1,TRANSIT_TO,2,45.4937556,-122.4049912,267.16222001806636
842,1,TRANSIT_TO,2,45.4938364,-122.40525255,289.4257383529052
843,1,TRANSIT_TO,2,45.493917200000006,-122.4055139,311.6892566877441
844,1,TRANSIT_TO,2,45.493998000000005,-122.40577524999999,333.95277502258295
845,1,TRANSIT_TO,2,45.494078800000004,-122.4060366,356.2162933574218
846,1,TRANSIT_TO,2,45.4941596,-122.40629795,378.4798116922607
847,1,TRANSIT_TO,2,45.4942404,-122.4065593,400.74333002709955
848,1,TRANSIT_TO,2,45.4943212,-122.40682065,423.0068483619384
849,1,TRANSIT_TO,2,45.494402,-122.407082,445.2703666967773
850,1,TRANSIT_TO,2,45.4944828,-122.40734334999999,467.53388503161614
851,1,TRANSIT_TO,2,45.4945636,-122.4076047,489.797403366455
852,1,TRANSIT_TO,2,45.494644400000006,-122.40786605,512.0609217012939
853,1,TRANSIT_TO,2,45.494725200000005,-122.4081274,534.3244400361327
854,1,TRANSIT_TO,2,45.494806000000004,-122.40838875,556.5879583709716
855,1,TRANSIT_TO,2,45.4948868,-122.4086501,578.8514767058105
856,1,TRANSIT_TO,2,45.4949676,-122.40891144999999,601.1149950406493
