timestamp (in seconds),bus_trip_no,status,bus_stop_no,latitude,longitude,distance
956,1,DISPATCHED_FROM,1,45.492786,-122.401855,0.0
957,1,TRANSIT_TO,2,45.4928668,-122.40211635,22.263518334838864
967,1,TRANSIT_TO,2,45.4936748,-122.40472985,244.8987016832275
977,1,TRANSIT_TO,2,45.4944828,-122.40734334999999,467.53388503161614
987,1,TRANSIT_TO,2,45.4952908,-122.40995685,690.1690683800048
997,1,TRANSIT_TO,2,45.496098800000006,-122.41257035,912.8042517283934
1007,1,TRANSIT_TO,2,45.496906800000005,-122.41518384999999,1135.439435076782
1017,1,TRANSIT_TO,2,45.497714800000004,-122.41779735,1358.0746184251707
1027,1,TRANSIT_TO,2,45.4985228,-122.42041085,1580.7098017735593
1037,1,TRANSIT_TO,2,45.4993308,-122.42302434999999,1803.344985121948
1047,1,TRANSIT_TO,2,45.5001388,-122.42563785,2025.9801684703366
1056,1,STOPPED_AT,2,45.500866,-122.42799,2226.3518334838864
1057,1,DWELL_AT,2,45.500866,-122.42799,2226.3518334838864
1067,1,TRANSIT_TO,3,45.50087501904762,-122.42798571428571,2227.4088641486546
1077,1,TRANSIT_TO,3,45.50096520952381,-122.42794285714285,2237.9791707963386
1087,1,TRANSIT_TO,3,45.5010554,-122.4279,2248.549477444022
1097,1,TRANSIT_TO,3,45.50114559047619,-122.42785714285714,2259.1197840917057
1107,1,TRANSIT_TO,3,45.501235780952385,-122.42781428571428,2269.6900907393897
1117,1,TRANSIT_TO,3,45.50132597142857,-122.42777142857143,2280.260397387073
1127,1,TRANSIT_TO,3,45.501416161904764,-122.42772857142857,2290.830704034757
1137,1,TRANSIT_TO,3,45.50150635238096,-122.42768571428572,2301.4010106824408
1147,1,TRANSIT_TO,3,45.50159654285714,-122.42764285714286,2311.9713173301243
1157,1,TRANSIT_TO,3,45.50168673333334,-122.4276,2322.5416239778083
1167,1,TRANSIT_TO,3,45.50177692380952,-122.42755714285714,2333.111930625492
1177,1,TRANSIT_TO,3,45.501867114285716,-122.42751428571428,2343.6822372731754
1187,1,TRANSIT_TO,3,45.50195730476191,-122.42747142857144,2354.2525439208594
1197,1,TRANSIT_TO,3,45.502047495238095,-122.42742857142858,2364.822850568543
1207,1,TRANSIT_TO,3,45.50213768571429,-122.42738571428572,2375.393157216227
1217,1,TRANSIT_TO,3,45.50222787619048,-122.42734285714286,2385.9634638639104
1227,1,TRANSIT_TO,3,45.50231806666667,-122.4273,2396.533770511594
1237,1,TRANSIT_TO,3,45.50240825714286,-122.42725714285714,2407.104077159278
1247,1,TRANSIT_TO,3,45.50249844761905,-122.42721428571429,2417.6743838069615
1257,1,TRANSIT_TO,3,45.50258863809524,-122.42717142857144,2428.244690454645
1266,1,STOPPED_AT,3,45.50276,-122.42709,2448.3282730852443
1267,1,DWELL_AT,3,45.50276,-122.42709,2448.3282730852443
1277,1,DWELL_AT,3,45.50276,-122.42709,2448.3282730852443
1287,1,DWELL_AT,3,45.50276,-122.42709,2448.3282730852443
1297,1,DWELL_AT,3,45.50276,-122.42709,2448.3282730852443
1307,1,DWELL_AT,3,45.50276,-122.42709,2448.3282730852443
1317,1,DWELL_AT,3,45.50276,-122.42709,2448.3282730852443
1327,1,DWELL_AT,3,45.50276,-122.42709,2448.3282730852443
1337,1,DWELL_AT,3,45.50276,-122.42709,2448.3282730852443
1347,1,DWELL_AT,3,45.50276,-122.42709,2448.3282730852443
1357,1,DWELL_AT,3,45.50276,-122.42709,2448.3282730852443
1367,1,TRANSIT_TO,4,45.50274815,-122.42707543750001,2450.067340853275
1377,1,TRANSIT_TO,4,45.50262965,-122.4269298125,2467.4580185335803
1387,1,TRANSIT_TO,4,45.502511150000004,-122.4267841875,2484.848696213886
1397,1,TRANSIT_TO,4,45.502392650000004,-122.4266385625,2502.2393738941914
1407,1,TRANSIT_TO,4,45.50227415,-122.4264929375,2519.630051574497
1417,1,TRANSIT_TO,4,45.50215565,-122.42634731250001,2537.0207292548025
