timestamp (in seconds),bus_trip_no,status,bus_stop_no,latitude,longitude,distance
988,1,DISPATCHED_FROM,1,45.492786,-122.401855,0.0
990,1,TRANSIT_TO,2,45.4929476,-122.4023777,44.52703666967773
1020,1,TRANSIT_TO,2,45.495371600000006,-122.4102182,712.4325867148436
1050,1,TRANSIT_TO,2,45.4977956,-122.41805869999999,1380.3381367600095
1080,1,TRANSIT_TO,2,45.5002196,-122.42589919999999,2048.2436868051755
1088,1,STOPPED_AT,2,45.500866,-122.42799,2226.3518334838864
1110,1,TRANSIT_TO,3,45.500979640000004,-122.42793599999999,2239.6704198599678
1140,1,TRANSIT_TO,3,45.50126374,-122.427801,2272.9668858001714
1170,1,TRANSIT_TO,3,45.50154784,-122.427666,2306.263351740375
1200,1,TRANSIT_TO,3,45.50183194,-122.427531,2339.559817680579
1230,1,TRANSIT_TO,3,45.502116040000004,-122.427396,2372.8562836207825
1260,1,TRANSIT_TO,3,45.50240014,-122.427261,2406.152749560986
1290,1,TRANSIT_TO,3,45.50268424,-122.427126,2439.44921550119
1298,1,STOPPED_AT,3,45.50276,-122.42709,2448.3282730852443
1320,1,TRANSIT_TO,4,45.5027284,-122.42705116666667,2452.9657871333256
1350,1,TRANSIT_TO,4,45.5022544,-122.42646866666668,2522.528497854548
1380,1,TRANSIT_TO,4,45.5017804,-122.42588616666667,2592.09120857577
1410,1,TRANSIT_TO,4,45.5013064,-122.42530366666668,2661.6539192969917
1440,1,TRANSIT_TO,4,45.5008324,-122.42472116666667,2731.216630018214
1470,1,TRANSIT_TO,4,45.500358399999996,-122.42413866666668,2800.779340739436
1500,1,TRANSIT_TO,4,45.4998844,-122.42355616666667,2870.342051460658
1530,1,TRANSIT_TO,4,45.499410399999995,-122.42297366666668,2939.90476218188
1560,1,TRANSIT_TO,4,45.4989364,-122.42239116666667,3009.467472903102
1590,1,TRANSIT_TO,4,45.498462399999994,-122.42180866666668,3079.0301836243243
1618,1,STOPPED_AT,4,45.49802,-122.421265,3143.9553802974647
1620,1,DWELL_AT,4,45.49802,-122.421265,3143.9553802974647
1650,1,TRANSIT_TO,5,45.497857749999994,-122.420704375,3191.2310465985324
1670,2,DISPATCHED_FROM,1,45.492786,-122.401855,0.0
1680,2,TRANSIT_TO,2,45.493594,-122.4044685,222.63518334838864
1680,1,TRANSIT_TO,5,45.497370999999994,-122.41902250000001,3333.0580455017353
1710,2,TRANSIT_TO,2,45.496018,-122.412309,890.5407333935545
1710,1,TRANSIT_TO,5,45.496884249999994,-122.41734062500001,3474.885044404938
1740,1,TRANSIT_TO,5,45.4963975,-122.41565875,3616.7120433081413
1740,2,TRANSIT_TO,2,45.498442000000004,-122.4201495,1558.4462834387205
1770,2,STOPPED_AT,2,45.500866,-122.42799,2226.3518334838864
1770,1,TRANSIT_TO,5,45.49591075,-122.413976875,3758.539042211344
1800,2,DWELL_AT,2,45.500866,-122.42799,2226.3518334838864
1800,1,TRANSIT_TO,5,45.495424,-122.412295,3900.366041114547
